Text Inputs : Specimen label,"22L.3"
General : Start Date,13/11/2018 5:14 PM

Time,Extension,Load,Segment ID,Total Cycle Count
(sec),(mm),(N),,
0.00000,-2.04726,-4.31900,22476,0
0.00180,-2.04726,-4.31779,22476,0
0.02000,-2.04730,-4.37385,22476,0
0.04000,-2.04800,-4.49085,22476,0
0.06000,-2.05025,-4.57256,22476,0
0.08000,-2.05367,-4.60217,22476,0
0.10000,-2.05743,-4.60576,22476,0
0.12000,-2.06114,-4.64307,22476,0
0.14000,-2.06473,-4.62550,22476,0
0.16000,-2.06829,-4.61081,22476,0
0.18000,-2.07186,-4.68309,22476,0
0.20000,-2.07539,-4.72007,22476,0
0.22000,-2.07886,-4.71404,22476,0
0.24000,-2.08229,-4.76157,22476,0
0.26000,-2.08574,-4.80231,22476,0
0.28000,-2.08922,-4.88956,22476,0
0.30000,-2.09268,-4.90003,22476,0
0.32000,-2.09609,-4.89006,22476,0
0.34000,-2.09949,-4.89048,22476,0
0.36000,-2.10290,-4.94902,22476,0
0.38000,-2.10632,-4.96783,22476,0
0.40000,-2.10970,-4.97760,22476,0
0.42000,-2.11303,-4.98571,22476,0
0.44000,-2.11637,-5.01460,22476,0
0.46000,-2.11974,-5.02472,22476,0
0.48000,-2.12314,-5.05720,22476,0
0.50000,-2.12651,-5.06850,22476,0
0.52000,-2.12984,-5.11203,22476,0
0.54000,-2.13318,-5.12349,22476,0
0.56000,-2.13657,-5.10264,22476,0
0.58000,-2.13998,-5.12004,22476,0
0.60000,-2.14334,-5.09917,22476,0
0.62000,-2.14666,-5.11067,22476,0
0.64000,-2.14998,-5.17924,22476,0
0.66000,-2.15334,-5.21973,22476,0
0.68000,-2.15672,-5.15722,22476,0
0.70000,-2.16005,-5.15370,22476,0
0.72000,-2.16336,-5.20544,22476,0
0.74000,-2.16667,-5.25302,22476,0
0.76000,-2.17002,-5.28717,22476,0
0.78000,-2.17339,-5.25901,22476,0
0.80000,-2.17672,-5.25781,22476,0
0.82000,-2.18002,-5.28733,22476,0
0.84000,-2.18332,-5.28642,22476,0
0.86000,-2.18666,-5.29842,22476,0
0.88000,-2.19004,-5.37051,22476,0
0.90000,-2.19337,-5.38840,22476,0
0.92000,-2.19667,-5.39682,22476,0
0.94000,-2.19997,-5.39728,22476,0
0.96000,-2.20331,-5.42232,22476,0
0.98000,-2.20667,-5.45532,22476,0
1.00000,-2.20999,-5.47046,22476,0
1.02000,-2.21329,-5.51053,22476,0
1.04000,-2.21661,-5.53092,22476,0
1.06000,-2.21998,-5.52457,22476,0
